talisson , 21/12/2000, Masculino, (32) 56151-5156, 12215,    .   .   -  , 21/09/2024, 100.0
talisson, 21/02/2000, Masculino, (12) 31315-6415, 12315631, 212.123.156-15, 21/12/2024, 55.0
trasgrdf, 21/12/2000, Masculino, (33) 12316-1561, 212313123,    .   .   -  , 12/31/2313, 55.0
sadfsedgergergrt, 12/12/1212, Masculino, (12) 31231-3213, 2312123123, 312.312.331-31, 31/32/1313, 100.0
Talisson Pontes, 21/12/2000, Masculino, (21) 52315-6151, 152156, 241.515.156-15, 21/09/2024, 100.0
Talisson, 12/12/1231, Masculino, (23) 13153-1313, 312313, 123.123.153-15, 10/15/1212, 100.0
Talisson, 21/21/2121, Masculino, (21) 23131-3212, 231231, 023.230.230-23, 31/32/1313, 100.0
Taçisosos, 02/15/6231, Masculino, (21) 23123-1231, 3131231, 231.231.231-23, 31/23/1313, 100.0
Carlos, 21/12/2000, Masculino, (21) 21651-5656, 5156, 515.615.616-16, 21/12/2024, 55.0
dassfas, 21/12/2020, Masculino, (32) 62156-1616, 65615, 156.156.156-56, 21/12/2022, 100.0
efesdf, 21/12/2000, Masculino, (30) 21231-5156, 5151, 212.312.312-31, 21/12/2024, 100.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 80.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 95.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 95.0
Rafael Gomes, 23/11/1976, Masculino, (51) 23456-7890, RS-32.654.987, 852.741.963-49, 26/09/2024, 100.0
Talisson Pontes Rodrigues, 21/05/2006, Masculino, (23) 10156-6156, DF-028.038.039, 154.561.651-61, 21/10/2024, 70.0
ada, 12/14/5565, Feminino, (15) 16516-5561, 151, 156.156.165-16, 51/23/1563, 105.0
Maria Oliveira, 20/02/1985, Feminino, (21) 98765-4321, SP-23.456.789, 234.567.890-11, 20/12/2024, 100.0
Juliana Lima, 15/06/1993, Feminino, (61) 94567-8901, DF-67.890.123, 678.901.234-55, 20/12/2024, 85.0
Maria oliveira, 23/05/1985, Masculino, (14) 56455-1566, 5215665, 234.567.890-11, 21/10/2024, 95.0
Maria Oliveira, 21/05/2000, Feminino, (62) 56419-5641, 5156, 234.567.890-11, 21/12/2024, 55.0
